Antall;Faregrad;Skredproblem;Skredutløser;Svakt lag;Skredtype;Hovedbudskap norsk
3;Fg2 (3);Vedvarende svakt lag (3), Fokksnø (2), Nysnøflak (1), Våte løssnøskred  (1);Liten tilleggsbelastning (5), Naturlig utløst (1), Stor tilleggsbelastning (1);Kantkornet snø under skarelag (3), Nedføyket svakt lag med nysnø (3), Ubunden snø (1);Tørre flakskred (6), Våte løssnøskred  (1);Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. Fjernutløsning er mulig. Fokksnø i høyden kan også gi skred.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Older windslabs can also be triggered.
1;Fg2 (1);Vedvarende svakt lag (1), Nysnøflak (1);Stor tilleggsbelastning (2);Kantkornet snø over skarelag (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2);Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. Fokksnø i høyden kan gi skred.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering is possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs in the alpine may also form avalanches.
13;Fg2 (13);Vedvarende svakt lag (13), Fokksnø (7), Våte løssnøskred  (1), Nysnøflak (1);Liten tilleggsbelastning (12), Stor tilleggsbelastning (9), Naturlig utløst (1);Nedsnødd eller nedføyket kantkornet snø (6), Kantkornet snø under skarelag (5), Nedføyket svakt lag med nysnø (5), Dårlig binding mellom lag i fokksnøen (3), Kantkornet snø over skarelag (2), Ubunden snø (1);Tørre flakskred (21), Våte løssnøskred  (1);Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. Fokksnø i høyden kan også gi skred.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs in the alpine may also form avalanches.
1;Fg2 (1);Vedvarende svakt lag (1), Fokksnø (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Kantkornet snø under skarelag (1), Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (2);Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. Fokksnø i høyden kan også gi skred. Vær også obs på skavler.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs in the alpine may also form avalanches. Be also aware of cornices than kan break off due to rising temperatures.
6;Fg2 (6);Vedvarende svakt lag (9), Fokksnø (6);Stor tilleggsbelastning (12), Liten tilleggsbelastning (3);Nedføyket svakt lag med nysnø (6), Kantkornet snø under skarelag (4), Kantkornet snø ved bakken (3), Kantkornet snø over skarelag (2);Tørre flakskred (15);Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. Fokksnø kan også gi skred.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs may also form avalanches.
1;Fg2 (1);Vedvarende svakt lag (1), Fokksnø (1);Stor tilleggsbelastning (1), Liten tilleggsbelastning (1);Kantkornet snø over skarelag (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2);Det finnes svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. I deler av regionen kan også ustabil fokksnø gi skred.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs in part of the more remote part of the region may also form avalanches.
2;Fg2 (2);Vedvarende svakt lag (2);Stor tilleggsbelastning (2);Nedsnødd eller nedføyket kantkornet snø (2);Tørre flakskred (2);Det finnes svake lag i snødekket som kan trigges av en skiløper eller snøskuter der snødekket er tynt.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile.
1;Fg2 (1);Vedvarende svakt lag (1), Nysnøflak (1);Stor tilleggsbelastning (1), Liten tilleggsbelastning (1);Nedsnødd eller nedføyket kantkornet snø (1), Dårlig binding mellom glatt skare og overliggende snø (1);Tørre flakskred (2);Det finnes svake lag i snødekket som kan trigges der snødekket er tynt. Fokksnø i høyden kan også gi skred. Vær også obs på skavler.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs in the alpine may also form avalanches. Be also aware of cornices than kan break off due to rising temperatures.
2;Fg2 (2);Våte flakskred (2), Nysnøflak (2), Vedvarende svakt lag (2);Stor tilleggsbelastning (4), Liten tilleggsbelastning (2);Opphopning av vann i/over lag i snødekket (2), Nedføyket svakt lag med nysnø (2), Kantkornet snø over skarelag (2);Tørre flakskred (4), Våte flakskred (2);Det finnes svake lag i snødekket som kan trigges der snødekket er tynt. Temperaturstigning kan gi våte flakskred. Fokksnø i høyden kan også gi skred.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Increasing temperatures can give wet avalanches. Wind slabs in the alpine may also form avalanches.
3;Fg2 (3);Vedvarende svakt lag (3), Fokksnø (3);Liten tilleggsbelastning (3), Stor tilleggsbelastning (3);Kantkornet snø under skarelag (3), Dårlig binding mellom lag i fokksnøen (3);Tørre flakskred (6);Det finnes svake lag i snødekket, vær forsiktig i bratt terreng med fokksnø.;There is a persistent weak layer buried in the snow cover, use caution in steep terrain with wind deposited snow.
4;Fg2 (4);Fokksnø (4), Vedvarende svakt lag (4);Liten tilleggsbelastning (8);Dårlig binding mellom lag i fokksnøen (4), Kantkornet snø under skarelag (4);Tørre flakskred (8);Det finnes svake lag i snødekket. Vær spesielt forsiktig rundt skoggrensen, samt i områder med fersk fokksnø og der snødekket er mykt/tynt. .;Conditions are challenging. Fresh wind-deposited snow can cause medium sized avalanches. Remote triggering is possible.
3;Fg2 (2), Fg3 (1);Vedvarende svakt lag (3), Fokksnø (3);Liten tilleggsbelastning (4), Stor tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2), Kantkornet snø over skarelag (1), Kantkornet snø ved bakken (1), Dårlig binding mellom lag i fokksnøen (1), Kantkornet snø under skarelag (1);Tørre flakskred (6);Det finnes svake lag i snødekket. Vær spesielt forsiktig rundt skoggrensen, samt i områder med fersk fokksnø.;There is a persistent weak layer buried in the snow pack, especially around the tree line. Be careful in areas with wind deposited snow.
17;Fg3 (10), Fg2 (7);Våte løssnøskred  (16), Våte flakskred (15), Vedvarende svakt lag (2);Naturlig utløst (20), Liten tilleggsbelastning (12), Ikke gitt (1);Nedsnødd eller nedføyket kantkornet snø (17), Ubunden snø (16);Våte løssnøskred  (16), Våte flakskred (15), Tørre flakskred (2);Det finnes vedvarende svake lag i høyden. Sol og varme temperaturer høyt til fjells gir økt risiko for våte løssnø-og flakskred. Vær oppmerksom på skavlbrudd.;A persistant weak layer of facets is present in some areas. Sun and high temperatures gives higher risk of wet loose-snow and slab avalanches in steep sun-exposed terrain. Be aware of cornice falls.
4;Fg2 (4);Vedvarende svakt lag (4);Stor tilleggsbelastning (4);Kantkornet snø over skarelag (4);Tørre flakskred (4);Det finnes vedvarende svake lag i snødekket som kan påvirkes av for eksempel en snøskuter. Vær forsiktig i bratt terreng med fokksnøflak.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Be careful in steep terrain with wind deposited snow.
4;Fg2 (4);Vedvarende svakt lag (4), Fokksnø (4);Stor tilleggsbelastning (7), Liten tilleggsbelastning (1);Kantkornet snø over skarelag (4), Nedføyket svakt lag med nysnø (3), Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (8);Det finnes vedvarende svake lag i snødekket som kan påvirkes der snødekket er tynt. Vær forsiktig i bratt terreng med fokksnøflak.;A persistent weak layer of facets may be triggered, especially where the snow cover is thin. Be careful in areas with wind deposited snow.
1;Fg2 (1);Vedvarende svakt lag (1), Fokksnø (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Kantkornet snø over skarelag (1), Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (2);Det finnes vedvarende svake lag i snødekket som kan trigges av en skiløper eller skuter der snødekket er tynt. Fokksnø i høyden kan også gi skred.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Wind slabs in the alpine may also form avalanches.
1;Fg2 (1);Vedvarende svakt lag (1), Fokksnø (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Kantkornet snø over skarelag (1), Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (2);Det finnes vedvarende svake lag i snødekket som kan trigges av en skiløper eller skuter. Vær forsiktig i bratt terreng med fokksnøflak.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Be careful in steep terrain with wind deposited snow.
2;Fg2 (2);Vedvarende svakt lag (2);Stor tilleggsbelastning (2);Kantkornet snø over skarelag (2);Tørre flakskred (2);Det finnes vedvarende svake lag i snødekket som kan trigges av for eksempel en skuter. Vær forsiktig i bratt terreng med fokksnøflak.;There is a persistent weak layer buried in the snow cover that may be triggered by a skier or snowmobile. Remote triggering possible on hotspots or on convex terrain where the snow cover is thin. Be careful in steep terrain with wind deposited snow.
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1);Stor tilleggsbelastning (2);Nedføyket svakt lag med nysnø (1), Kantkornet snø under skarelag (1);Tørre flakskred (2);Det finnes vedvarende svake lag i snødekket, samt fokksnø i leheng i høyden.;There is a persistent weak layer buried in the snow pack, but lower temperature makes it hard to trigger avalanches here. Some wind slabs in the alpine.
1;Fg2 (1);Vedvarende svakt lag (2), Fokksnø (1);Liten tilleggsbelastning (2), Stor tilleggsbelastning (1);Kantkornet snø over skarelag (1), Nedsnødd eller nedføyket overflaterim (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (3);Det finnes vedvarende svake lag i snødekket, vær forsiktig i bratt terreng med fokksnøflak.;A weak layer of facets or buried surface hoar can be present underneath fresh wind deposited snow in isolated features. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Kantkornet snø under skarelag (1);Tørre flakskred (2);Det finnes vedvarende svake lag i snødekket. Det kan finnes fersk fokksnø i leheng i høyden.;There is a persistent weak layer buried in the snow pack, but lower temperature makes it hard to trigger avalanches here. Some fresh wind slabs may be present in the alpine.
3;Fg2 (3);Vedvarende svakt lag (3), Våte løssnøskred  (3);Stor tilleggsbelastning (3), Naturlig utløst (3);Kantkornet snø under skarelag (3), Ubunden snø (3);Tørre flakskred (3), Våte løssnøskred  (3);Det finnes vedvarende svake lag i snødekket. Forbigående lavere temperatur gjør det vanskeligere å påvirke disse. Økende skredfare mot natt til fredag.;There is a persistent weak layer buried in the snow pack. Transient lower temperatures make it harder to affect them. Increasing danger late Thursday evening due to increasing temperatur and precipitation.
3;Fg2 (3);Vedvarende svakt lag (3), Fokksnø (3);Stor tilleggsbelastning (3), Liten tilleggsbelastning (3);Kantkornet snø under skarelag (3), Nedføyket svakt lag med nysnø (3);Tørre flakskred (6);Det finnes vedvarende svake lag i snødekket. Lavere temperatur gjør det vanskeligere å påvirke disse. Litt nysnø kan gi enkelte nysnøflak i høyden.;There is a persistent weak layer buried in the snow pack. Lower temperatures make it harder to affect them. Some fresh snow may lead to small wind slabs in the alpine.
3;Fg2 (3);Vedvarende svakt lag (3), Våte løssnøskred  (3);Naturlig utløst (2), Liten tilleggsbelastning (2), Stor tilleggsbelastning (2);Kantkornet snø under skarelag (3), Ubunden snø (3);Tørre flakskred (3), Våte løssnøskred  (3);Det finnes vedvarende svake lag i snødekket. Vær spesielt forsiktig der snøoverflaten er myk og fuktig.;There is a persistent weak layer buried in the snow pack. Be especially careful where the snow surface is soft and moist.
8;Fg2 (8);Våte løssnøskred  (8), Vedvarende svakt lag (7), Våte flakskred (1);Naturlig utløst (15), Liten tilleggsbelastning (1);Kantkornet snø under skarelag (8), Ubunden snø (8);Våte løssnøskred  (8), Tørre flakskred (7), Våte flakskred (1);Det finnes vedvarende svake lag i snødekket. Vær spesielt forsiktig der snøoverflaten fortsatt er myk og fuktig.;There is a persistent weak layer buried in the snow pack. Be especially careful where the snow surface still is soft and moist.
18;Fg2 (18);Vedvarende svakt lag (23), Fokksnø (11);Stor tilleggsbelastning (18), Liten tilleggsbelastning (16);Kantkornet snø under skarelag (11), Dårlig binding mellom lag i fokksnøen (7), Kantkornet snø over skarelag (6), Nedsnødd eller nedføyket overflaterim (6), Nedføyket svakt lag med nysnø (4);Tørre flakskred (34);Det finnes vedvarende svake lag i snødekket. Vær spesielt forsiktig rundt skoggrensen og i områder med fersk fokksnø.;There is a persistent weak layer buried in the snow pack, especially at tree line. Be careful in areas with wind deposited snow.
