Antall	Faregrad	Hovedskredproblem	Skredproblem	Skredtype	Hovedbudskap norsk	Hovedbudskap engelsk
3	Fg2 (3)	Fokksnø (3), Vedvarende svakt lag (1)	Lag med løs nysnø (3), Lag med overflaterim (1)	Tørre flakskred (4)	Generelt ganske stabile forhold, men vær forsiktig i leområder med fokksnø.	Generally stable conditions, but you should still be careful in areas with wind deposited snow.
3	Fg2 (3)	Fokksnø (3), Våt snø (3)	Lag med løs nysnø (3), Regn/temperaturstigning (3)	Tørre flakskred (3), Våte løssnøskred (2), Våte flakskred (1)	Generelt gunstige forhold først på dagen. Nysnø og vind vil danne tynne ustabile flak av fokksnø i høyden mot kvelden.	Favorable conditions early in the day. With stronger winds and new snow will we see small wind-slabs in the Alpine towards the evening.
1	Fg1 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Generelt gunstige forhold men vær varsom i områder med fersk fokksnø.	Favorable conditions but be careful in areas with fresh wind deposited snow.
1	Fg2 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Lag med kantkornet snø (1)	Tørre flakskred (1), Våte løssnøskred (1)	Generelt gunstige forhold under ca 2000 moh. I høyfjellet kan det fortsatt ligge enkelte lommer av ustabil fokksnø over svake lag.	Favorable conditions. Be aware of wind-slabs over weak layers above 2000 moh. It is possible to trigger wet avalanches in sun exposed slopes.
2	Fg2 (2)	Vedvarende svakt lag (2), Våt snø (2)	Regn/temperaturstigning (2), Lag med kantkornet snø (2)	Tørre flakskred (2), Våte løssnøskred (2)	Generelt gunstige forhold under ca 2000 moh. I høyfjellet kan det fortsatt ligger enkelte lommer av ustabil fokksnø over svake lag.	Favorable conditions. Be aware of wind-slabs over weak layers above 2000 moh. It is possible to trigger wet avalanches in sun exposed slopes.
6	Fg1 (4), Fg2 (2)	Fokksnø (6)	Lag med løs nysnø (6)	Tørre flakskred (6)	Generelt gunstige forhold, men vær varsom i områder med fersk fokksnø.	Favorable conditions. Be carefull in areas where storm slabs have formed.
10	Fg1 (10)	Våt snø (10), Fokksnø (1)	Regn/temperaturstigning (8), Snødekket er overmettet av vann (2), Lag med løs nysnø (1)	Våte løssnøskred (10), Tørre flakskred (1)	Generelt gunstige forhold. Høye dagtemperaturer og solinnstråling gir fare for mindre våte skred.	Favorable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches.
7	Fg1 (7)	Våt snø (7)	Snødekket er overmettet av vann (7)	Våte løssnøskred (7)	Generelt gunstige forhold. Høye dagtemperaturer og solinnstråling gir fare for mindre våte skred. Også enkelte glideskred kan forekomme.	Favorable conditions. Warm daytime-temperatures and solar radiation give increased danger of wet avalanches. Glide avalanches are possible.
3	Fg1 (3)	Våt snø (3)	Regn/temperaturstigning (3)	Våte løssnøskred (3)	Generelt gunstige forhold. I lavlandet og i solvendte fjellsider kan det gå små løssnøskred. Unngå områder under glidesprekker.	Generally stable conditions. Wet avalanches can release in steep terrain in lower areas and in sun exposed slopes where the sun comes out. Avoid areas with visible gliding cracks, release areas and run out areas for wet snow avalanches.
10	Fg1 (10)	Fokksnø (6), Våt snø (4)	Lag med løs nysnø (6), Regn/temperaturstigning (4)	Tørre flakskred (6), Våte løssnøskred (4)	Generelt gunstige forhold. Men husk at selv små skred kan være farlige i/ved terrengfeller.	Favorable conditions. But remember that small avalanches can be dangerous in terrain traps.
3	Fg1 (3)	Våt snø (3), Fokksnø (1)	Regn/temperaturstigning (3), Lag med løs nysnø (1)	Våte løssnøskred (3), Tørre flakskred (1)	Generelt gunstige forhold. Regn og varme gir fare for mindre våte skred.	Favorable conditions. Rain and heat give increased danger of wet avalanches.
20	Fg1 (20)	Våt snø (20)	Snødekket er overmettet av vann (13), Regn/temperaturstigning (7)	Våte løssnøskred (20)	Generelt gunstige forhold. Regn og varme gir fare for mindre våte skred. Glideskred kan forekomme.	Favorable conditions. Rain and heat give increased danger of wet avalanches. Glide avalanches are possible.
1	Fg1 (1)	Våt snø (1)	Snødekket er overmettet av vann (1)	Våte løssnøskred (1)	Generelt gunstige forhold. Regn og varme gir fare for mindre våte skred. Også enkelte glideskred kan forekomme.	Favorable conditions. Rain and heat give increased danger of wet avalanches. Glide avalanches are possible.
9	Fg1 (9)	Våt snø (9)	Regn/temperaturstigning (9)	Våte løssnøskred (9)	Generelt gunstige forhold. Smelting i snødekket gir fare for mindre våte skred.	Favorable conditions. A melting snowpack gives increased danger of wet avalanches.
12	Fg1 (12)	Våt snø (12)	Regn/temperaturstigning (12)	Våte løssnøskred (12)	Generelt gunstige forhold. Smelting i snødekket gir fare for små våte skred.	Favorable conditions. A melting snowpack gives increased danger of wet avalanches.
3	Fg1 (3)	Fokksnø (3), Våt snø (3)	Regn/temperaturstigning (3), I fokksnøen (2), Lag med løs nysnø (1)	Tørre flakskred (3), Våte løssnøskred (3)	Generelt gunstige forhold. Sol og varme gir fare for mindre våte skred.	Favorable conditions. Sol and warm weather give increased danger of wet avalanches.
2	Fg1 (2)	Våt snø (2)	Regn/temperaturstigning (2)	Våte løssnøskred (2)	Generelt gunstige forhold. Stigende temperatur på dagtid gir fare for mindre våte skred.	Favorable conditions. Increased temperatures during the day increases danger of wet avalanches.
6	Fg1 (6)	Våt snø (6)	Regn/temperaturstigning (6)	Våte løssnøskred (6)	Generelt gunstige forhold. Temperaturstigning og solinnstråling gir fare for mindre våte skred.	Favorable conditions. Temperature rise and solar radiation give increased danger of wet avalanches.
1	Fg1 (1)	Våt snø (1)	Regn/temperaturstigning (1)	Våte løssnøskred (1)	Generelt gunstige forhold. Temperaturstigning og solinnstråling gir fare for våte laussnøskred.	Favorable conditions. Sun and rise of temperature can produce small wet avalanches.
6	Fg1 (6)	Våt snø (6), Fokksnø (2)	Regn/temperaturstigning (6), Lag med løs nysnø (2)	Våte løssnøskred (6), Tørre flakskred (2)	Generelt gunstige forhold. Vær varsom i solutsatte brattheng og der det er fokksnøansamlinger i høyden.	Generally favorable conditions. Be careful in sun exposed steep slopes and in areas with wind slabs at higher elevations. Be aware that persistent weak layers can be hidden in the snow pack.
1	Fg1 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Generelt hardt og stabilt snødekke, men vær obs i terrengformasjoner med innblåst snø.	Be cautious in steep terrain with windtransported snow. Small wind slabs could be triggered. But generally expect a hard and stable snow pack.
2	Fg2 (2)	Fokksnø (2)	I fokksnøen (2)	Tørre flakskred (2)	Generelt hardt og stabilt snødekke. Vær forsiktig i terrengformasjoner med innblåst snø.	Generally expect a hard and stable snow pack. Be cautious in steep terrain with windtransported snow. Small wind slabs could still be triggered.
2	Fg1 (2)	Vedvarende svakt lag (2)	Glatt skare (2)	Tørre flakskred (2)	Generelt lite snø og hard snøoverfalte, men små flak av fokksnø kan skli ut i isolerte heng.	Not much snow and genreally safe conditions. Smaller slabs of wind deposited snow can be triggered in isolated features. The snow surface is mostly hard, be aware of the potential of sliding.
4	Fg1 (2), Fg2 (2)	Fokksnø (3), Vedvarende svakt lag (2)	I fokksnøen (3), Lag med overflaterim (2)	Tørre flakskred (5)	Generelt lite snø og hard snøoverflate, men der det kommer nysnø kan små flak av fokksnø skli ut i isolerte heng.	Not much snow and genreally safe conditions. Smaller slabs of wind deposited snow can be triggered in isolated features. The snow surface is mostly hard, be aware of the potential of sliding.
8	Fg2 (8)	Fokksnø (8), Vedvarende svakt lag (2)	I fokksnøen (6), Lag med løs nysnø (2), Lag med overflaterim (2)	Tørre flakskred (10)	Generelt lite snø og hard snøoverflate, men nysnø og vind i fjellet skaper lokal ustabil fokksnø.	Not much snow and generally safe conditions. But new snow and strong winds in high altitudes creates small wind slabs, that can be triggered in isolated features.
2	Fg3 (2)	Vedvarende svakt lag (2), Fokksnø (2), Våt snø (2)	I fokksnøen (2), Regn/temperaturstigning (2), Lag med overflaterim (2)	Tørre flakskred (4), Våte løssnøskred (2)	Generelt reduseres skredfaren, men treffer man på områder med nedføyket rim kan man enkelt løse ut store skred. Unngå derfor nordsider for å være sikker.	Generally will the avalanche danger decrease, but be aware of wind slabs and isolated areas with surface hoar in north aspects in high elevation.
2	Fg1 (2)	Fokksnø (2)	I fokksnøen (2)	Tørre flakskred (2)	Generelt sett stabile forhold, men vær obs på at det finnes enkelte lommer med ustabil fokksnø.	Generally stable conditions, but be careful when traveling close to/in terrain traps. Even small avalanches can be dangerous in these areas. A layer of facets if forming, but not yet an issue.
2	Fg1 (2)	Fokksnø (2)	I fokksnøen (2)	Tørre flakskred (2)	Generelt sett stabile forhold, men vær varsom i isolerte områder med ustabil snø.	Generally stable conditions, but be careful when traveling close to/in terrain traps. Even small avalanches can be dangerous in these areas. A layer of facets if forming, but not yet an issue.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Generelt stabile forhold i vest og i lavlandet, men ansamlinger av tørrsnø i høyden og i øst kan fortsatt være ustabile.	Generally safe avalanche conditions in the West, less stabile in the East. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
3	Fg2 (3)	Fokksnø (3), Våt snø (3)	Lag med løs nysnø (3), Regn/temperaturstigning (3)	Tørre flakskred (3), Våte løssnøskred (3)	Generelt stabile forhold i vest og lavlandet, men ansamlinger av nysnø i høyden kan være ustabile og der sola tar fatt kan det gå løssnøskred.	Generally safe avalanche conditions in the West and at lower elevations. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Generelt stabile forhold i vest, men ansamlinger av tørrsnø i høyden og i øst kan fortsatt være ustabile.	Generally safe avalanche conditions in the West, less stabile in the East. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
1	Fg1 (1)	Vedvarende svakt lag (1)	Lag med overflaterim (1)	Tørre flakskred (1)	Generelt stabile forhold men vær forsiktig i forsenkninger og søkk der fokksnø har lagt seg oppå et tynt lag med overflaterim.	Generally stable conditions, but be careful in areas with soft slabs. A weak layer of buried surface hoar can be present underneath soft slabs in isolated features.
1	Fg1 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Generelt stabile forhold men vær forsiktig i leområder med fokksnø i alle himmelretninger.	Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow in all expositions.
2	Fg1 (2)	Fokksnø (2)	Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (2)	Generelt stabile forhold men vær forsiktig i leområder med fokksnø i høyfjellet.	Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow in high mountain terrain.
3	Fg1 (3)	Vedvarende svakt lag (3)	Lag med kantkornet snø (3)	Tørre flakskred (3)	Generelt stabile forhold men vær forsiktig i leområder med fokksnø rundt skoggrensa.	Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow around treeline.
31	Fg1 (22), Fg2 (9)	Fokksnø (28), Vedvarende svakt lag (3), Våt snø (1)	I fokksnøen (21), Lag med løs nysnø (7), Glatt skare (2), Lag med kantkornet snø (1), Regn/temperaturstigning (1)	Tørre flakskred (31), Våte løssnøskred (1)	Generelt stabile forhold men vær forsiktig i leområder med fokksnø.	Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow.
1	Fg1 (1)	Vedvarende svakt lag (1)	Lag med kantkornet snø (1)	Tørre flakskred (1)	Generelt stabile forhold men vær forsiktig i leområder med fokksnø. Det finnes lommer med svake lag under den vindtransporterte snøen.	Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
3	Fg1 (3)	Vedvarende svakt lag (3)	Lag med kantkornet snø (3)	Tørre flakskred (3)	Generelt stabile forhold men vær forsiktig i leområder med fokksnø. Det finnes områder med svake lag under den vindtransporterte snøen.	Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
1	Fg1 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med overflaterim (1)	Tørre flakskred (2)	Generelt stabile forhold men vær forsiktig i leområder med fokksnø. Enkelte steder kan fokksnøen ha lagt seg over et svakt lag av overflaterim.	Generally stable conditions, but be careful in areas with soft slabs. A weak layer of buried surface hoar can be present underneath softslab in isolated features.
2	Fg1 (2)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med overflaterim (2), Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (4)	Generelt stabile forhold men vær forsiktig i leområder med fokksnø. I nøn få heng kan fokksnøen ha lagt seg over et svakt lag av overflaterim.	Generally stable conditions, but be careful in areas with soft slabs. A weak layer of buried surface hoar can be present underneath softslab in isolated features.
2	Fg1 (1), Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Generelt stabile forhold men vær forsiktig i leområder med fokksnø. kende faregrad natt til søndag lengst vest i regionen.	Generally stable conditions, but you should still be careful in areas with fresh wind deposited snow. The avalanche danger will increase towards Sunday i western parts of the region.
